code,name,market,yahoo_symbol
EURUSD,Euro / US Dollar,forex,EURUSD=X
GBPUSD,British Pound / US Dollar,forex,GBPUSD=X
USDJPY,US Dollar / Japanese Yen,forex,USDJPY=X
AUDUSD,Australian Dollar / US Dollar,forex,AUDUSD=X
USDCAD,US Dollar / Canadian Dollar,forex,USDCAD=X
USDCHF,US Dollar / Swiss Franc,forex,USDCHF=X
NZDUSD,New Zealand Dollar / US Dollar,forex,NZDUSD=X
EURJPY,Euro / Japanese Yen,forex,EURJPY=X
EURGBP,Euro / British Pound,forex,EURGBP=X
EURCHF,Euro / Swiss Franc,forex,EURCHF=X
EURAUD,Euro / Australian Dollar,forex,EURAUD=X
EURNZD,Euro / New Zealand Dollar,forex,EURNZD=X
EURCAD,Euro / Canadian Dollar,forex,EURCAD=X
GBPJPY,British Pound / Japanese Yen,forex,GBPJPY=X
GBPCHF,British Pound / Swiss Franc,forex,GBPCHF=X
GBPAUD,British Pound / Australian Dollar,forex,GBPAUD=X
GBPCAD,British Pound / Canadian Dollar,forex,GBPCAD=X
AUDJPY,Australian Dollar / Japanese Yen,forex,AUDJPY=X
AUDNZD,Australian Dollar / New Zealand Dollar,forex,AUDNZD=X
AUDCAD,Australian Dollar / Canadian Dollar,forex,AUDCAD=X
AUDCHF,Australian Dollar / Swiss Franc,forex,AUDCHF=X
CADJPY,Canadian Dollar / Japanese Yen,forex,CADJPY=X
CHFJPY,Swiss Franc / Japanese Yen,forex,CHFJPY=X
NZDJPY,New Zealand Dollar / Japanese Yen,forex,NZDJPY=X
NZDCAD,New Zealand Dollar / Canadian Dollar,forex,NZDCAD=X
NZDCHF,New Zealand Dollar / Swiss Franc,forex,NZDCHF=X
CADCHF,Canadian Dollar / Swiss Franc,forex,CADCHF=X
USDSEK,US Dollar / Swedish Krona,forex,USDSEK=X
USDNOK,US Dollar / Norwegian Krone,forex,USDNOK=X
USDDKK,US Dollar / Danish Krone,forex,USDDKK=X
USDHKD,US Dollar / Hong Kong Dollar,forex,USDHKD=X
USDSGD,US Dollar / Singapore Dollar,forex,USDSGD=X
USDZAR,US Dollar / South African Rand,forex,USDZAR=X
USDMXN,US Dollar / Mexican Peso,forex,USDMXN=X
USDTRY,US Dollar / Turkish Lira,forex,USDTRY=X
USDINR,US Dollar / Indian Rupee,forex,USDINR=X
USDBRL,US Dollar / Brazilian Real,forex,USDBRL=X
USDKRW,US Dollar / South Korean Won,forex,USDKRW=X
EURSEK,EURSEK,forex,EURSEK=X
EURNOK,EURNOK,forex,EURNOK=X
GBPNZD,GBPNZD,forex,GBPNZD=X
GBPSEK,GBPSEK,forex,GBPSEK=X
GBPNOK,GBPNOK,forex,GBPNOK=X
AUDSGD,AUDSGD,forex,AUDSGD=X
NZDSGD,NZDSGD,forex,NZDSGD=X
USDPLN,USDPLN,forex,USDPLN=X
USDHUF,USDHUF,forex,USDHUF=X
USDCZK,USDCZK,forex,USDCZK=X
USDTHB,USDTHB,forex,USDTHB=X
USDMYR,USDMYR,forex,USDMYR=X
USDIDR,USDIDR,forex,USDIDR=X
USDPHP,USDPHP,forex,USDPHP=X
USDTWD,USDTWD,forex,USDTWD=X
USDCLP,USDCLP,forex,USDCLP=X
USDCOP,USDCOP,forex,USDCOP=X
USDPEN,USDPEN,forex,USDPEN=X
USDCNH,USDCNH,forex,USDCNH=X
USDCNY,USDCNY,forex,USDCNY=X
